KEY,FREQ,REF_AREA,CURRENCY,PROVIDER_FM,INSTRUMENT_FM,PROVIDER_FM_ID,DATA_TYPE_FM,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,FM_CONTRACT_TIME,FM_COUPON_RATE,FM_IDENTIFIER,FM_LOT_SIZE,FM_MATURITY,FM_OUTS_AMOUNT,FM_PUT_CALL,FM_STRIKE_PRICE,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2003-Q3,2.139106060606061,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2003-Q4,2.1493125000000006,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2004-Q1,2.0617656250000005,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2004-Q2,2.0834444444444444,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2004-Q3,2.116303030303031,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2004-Q4,2.164000000000001,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2005-Q1,2.140354838709678,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2005-Q2,2.1244461538461548,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2005-Q3,2.130545454545454,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2005-Q4,2.3437187499999994,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2006-Q1,2.613600000000001,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2006-Q2,2.895661290322581,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2006-Q3,3.221507692307692,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2006-Q4,3.5901904761904775,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2007-Q1,3.820390625000001,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2007-Q2,4.067790322580645,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
FM.Q.U2.EUR.RT.MM.EURIBOR3MD_.HSTA,Q,U2,EUR,RT,MM,EURIBOR3MD_,HSTA,2007-Q3,4.493738461538463,A,F,,,,,A,,,,,,,,,,,,,,,,,4,,,"Euribor 3-month - Historical close, average of observations through period","Euro area (changing composition) - Money Market - Euribor 3-month - Historical close, average of observations through period - Euro, provided by Reuters",PCPA,0
